page_id,page_namespace,page_title,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
4195,0,John_Maynard_Keynes,0,0,0.555910556652,bytearray(b'20231222153930'),bytearray(b'20231222154033'),3384490,164978,bytearray(b'wikitext'),
7203,1,John_Maynard_Keynes,0,0,0.517934609007,bytearray(b'20221128175101'),bytearray(b'20221128175137'),3167892,15898,bytearray(b'wikitext'),
431,0,John_Milton,0,0,0.118752822801,bytearray(b'20231108092445'),bytearray(b'20231108092535'),3300424,38513,bytearray(b'wikitext'),
117034,1,John_Rawls,0,0,0.82777957275,bytearray(b'20230306075140'),bytearray(b'20230306075139'),1721608,1943,bytearray(b'wikitext'),
6402,0,John_Rawls,0,0,0.402620206997,bytearray(b'20231126164004'),bytearray(b'20231126164004'),3349573,29790,bytearray(b'wikitext'),
314,0,John_Stuart_Mill,0,0,0.644514880443,bytearray(b'20231125210303'),bytearray(b'20231125210303'),3383345,160607,bytearray(b'wikitext'),
7902,1,John_Stuart_Mill,0,0,0.573082363976,bytearray(b'20230310205843'),bytearray(b'20230310205842'),2058778,2132,bytearray(b'wikitext'),
74907,0,John_of_Salisbury,0,0,0.571948721351,bytearray(b'20231230070027'),bytearray(b'20231230070101'),3137511,7153,bytearray(b'wikitext'),
66890,1,John_von_Neumann,0,0,0.602891786594,bytearray(b'20230604182317'),bytearray(b'20230604182317'),3302141,6142,bytearray(b'wikitext'),
11272,0,John_von_Neumann,0,0,0.397080855744,bytearray(b'20231221214015'),bytearray(b'20231221214017'),3405065,36044,bytearray(b'wikitext'),
446,0,Jonathan_Swift,0,0,0.16715492735,bytearray(b'20231129235946'),bytearray(b'20231129235935'),3409417,34800,bytearray(b'wikitext'),
103679,1,Jonathan_Swift,0,0,0.745630047509,bytearray(b'20220903035043'),bytearray(b'20220903010142'),1764662,1838,bytearray(b'wikitext'),
248573,1,Jordan_Peterson,0,1,0.764235316847,bytearray(b'20220618191738'),bytearray(b'20220618191738'),3130605,10710,bytearray(b'wikitext'),
196225,0,Jordan_Peterson,0,0,0.71604176897,bytearray(b'20231217215343'),bytearray(b'20231217215343'),3422588,83376,bytearray(b'wikitext'),
447,0,Joseph_Addison,0,0,0.251572917798,bytearray(b'20231024074158'),bytearray(b'20231024074209'),3288577,76308,bytearray(b'wikitext'),
17598,1,Joseph_Addison,0,0,0.879773958577,bytearray(b'20230120101140'),bytearray(b'20230120101140'),3236655,5279,bytearray(b'wikitext'),
2139,0,Joseph_Stalin,0,0,0.217519607031,bytearray(b'20231228220328'),bytearray(b'20231228220356'),3426661,141465,bytearray(b'wikitext'),
21838,1,Joseph_Stalin,0,0,0.909972657833,bytearray(b'20230220220114'),bytearray(b'20230220220114'),3253307,12498,bytearray(b'wikitext'),
114555,0,Joseph_de_Maistre,0,0,0.179544287869,bytearray(b'20230907144308'),bytearray(b'20230907144308'),3357620,58230,bytearray(b'wikitext'),
182093,1,Joseph_de_Maistre,0,1,0.328243398462,bytearray(b'20230520080227'),bytearray(b'20230520080227'),2032915,1743,bytearray(b'wikitext'),
114282,1,José_Ortega_y_Gasset,0,0,0.623105881887,bytearray(b'20230607200854'),bytearray(b'20230607200854'),2289663,3710,bytearray(b'wikitext'),
9797,0,José_Ortega_y_Gasset,0,0,0.315308993044,bytearray(b'20230915124137'),bytearray(b'20230915124101'),3364130,44241,bytearray(b'wikitext'),
189488,1,Joy,0,1,0.492868651252,bytearray(b'20230519011307'),bytearray(b'20230519011307'),2158042,172,bytearray(b'wikitext'),
3643,3,Joy,0,0,0.857822875892,bytearray(b'20230310204749'),bytearray(b'20230310204749'),1881663,1875,bytearray(b'wikitext'),
3528,2,Joy,0,1,0.638627981599,bytearray(b'20230223000900'),bytearray(b'20230223000900'),73390,38,bytearray(b'wikitext'),
126465,0,Joy,0,0,0.733368909958,bytearray(b'20231109145558'),bytearray(b'20231109145651'),3346580,43352,bytearray(b'wikitext'),
100988,0,Juan_Donoso_Cortés,0,0,0.493511787204,bytearray(b'20230915165429'),bytearray(b'20230915165359'),3364371,4660,bytearray(b'wikitext'),
126463,0,Judaism,0,0,0.204476785216,bytearray(b'20231227162400'),bytearray(b'20231227162400'),3430741,69948,bytearray(b'wikitext'),
16200,1,Judaism,0,0,0.16118143942,bytearray(b'20220903033707'),bytearray(b'20220903005904'),2553331,7127,bytearray(b'wikitext'),
63801,14,Judaism,0,0,0.241121721244,bytearray(b'20231219175933'),bytearray(b'20230819093349'),3141995,52,bytearray(b'wikitext'),
111586,0,Judge,0,0,0.053449790254,bytearray(b'20230617031328'),bytearray(b'20230617031348'),2588630,5023,bytearray(b'wikitext'),
177382,1,Judge,0,1,0.73945677083,bytearray(b'20230520095154'),bytearray(b'20230520095154'),1970764,2034,bytearray(b'wikitext'),
191963,1,Judgment,0,0,0.641371394103,bytearray(b'20220903041620'),bytearray(b'20220903011010'),2188062,14,bytearray(b'wikitext'),
126466,0,Judgment,0,0,0.256021637709,bytearray(b'20231002173351'),bytearray(b'20231002173351'),3373484,39216,bytearray(b'wikitext'),
37233,1,Judith_Butler,0,0,0.217849282897,bytearray(b'20230703202239'),bytearray(b'20230703202239'),2373568,143,bytearray(b'wikitext'),
3666,0,Judith_Butler,0,0,0.594612311849,bytearray(b'20231121181154'),bytearray(b'20231121181158'),3389651,6504,bytearray(b'wikitext'),
73,0,Julius_Caesar,0,0,0.777355455224,bytearray(b'20231202062514'),bytearray(b'20231202062604'),3368212,28630,bytearray(b'wikitext'),
613,1,Julius_Caesar,0,0,0.302601376689,bytearray(b'20230703191012'),bytearray(b'20230703191011'),2367328,6259,bytearray(b'wikitext'),
42669,0,Julius_Evola,0,0,0.380317883531,bytearray(b'20231222144849'),bytearray(b'20231222144849'),3426786,11718,bytearray(b'wikitext'),
